gnis_name,comid,centroid_longitude,centroid_latitude,date_acquired,predictions
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2020/05/27,5.587938104723334
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2020/06/04,14.414658333103311
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2020/06/28,8.531149995394996
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2020/06/21,3.5580643886233285
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2020/06/21,3.9005295450724935
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2020/07/06,2.769963724999997
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2020/08/07,5.12580000021749
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2020/08/24,3.4832363999999942
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2020/08/24,3.3599272999999954
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2020/09/08,12.807983333570832
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2020/09/25,14.565202082655835
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2020/09/25,11.622339583533336
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2020/10/10,5.543500000000007
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2020/11/28,8.475649995950008
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2020/11/28,7.035724995720004
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2020/11/27,2.8061022500000057
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2020/12/29,3.3162500000000104
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2021/01/30,4.403374999999999
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2021/03/11,10.389399999430022
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2021/03/03,10.116971978021969
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2021/04/05,10.642283337513332
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2021/03/27,12.334241678146665
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2021/04/04,16.653041684351685
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2021/04/28,7.262391658226675
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2021/05/06,8.592550009199991
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2021/05/23,15.50860833464834
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2021/05/23,14.226437500995004
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2021/06/07,4.460821213333327
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2021/07/10,4.339725006447498
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2021/07/10,3.7828750051824978
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2021/06/24,3.64363216410256
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2021/06/24,4.9399035139194085
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2021/06/23,2.886425000000001
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2021/08/11,5.561766669269166
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2021/08/11,4.3908916687116655
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2021/08/02,6.705033318375839
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2021/07/26,8.217737499752504
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2021/08/27,3.5611841001449926
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2021/08/27,4.424205952453447
Mombasha Lake,6244656,-74.2057640813067,41.28105577115252,2021/09/11,2.8012864550000005
